"","V1","V2","V3","V4"
"1",0,0.04,0.044,0.039
"2",0.25,0.1,0.063,0.097
"3",0.5,0.33,0.217,0.364
"4",0.75,0.723,0.611,0.849
"5",1,0.947,0.911,0.993
