"","V1","V2","V3","V4"
"1",0,0.053,0.063,0.042
"2",0.25,0.057,0.058,0.061
"3",0.5,0.122,0.168,0.235
"4",0.75,0.313,0.462,0.71
"5",1,0.59,0.782,0.966
