"","V1","V2","V3","V4"
"1",0,0.04,0.043,0.025
"2",0.25,0.255,0.223,0.457
"3",0.5,0.728,0.761,0.952
"4",0.75,0.955,0.979,1
"5",1,0.998,0.999,1
