"","V1","V2","V3","V4"
"1",0,0.053,0.054,0.037
"2",0.25,0.057,0.059,0.068
"3",0.5,0.115,0.091,0.107
"4",0.75,0.287,0.188,0.31
"5",1,0.57,0.412,0.644
