"","V1","V2","V3","V4"
"1",0,0.043,0.053,0.041
"2",0.25,0.069,0.086,0.113
"3",0.5,0.237,0.313,0.54
"4",0.75,0.592,0.771,0.963
"5",1,0.88,0.98,1
