"","V1","V2","V3","V4"
"1",0,0.057,0.053,0.04
"2",0.25,0.056,0.061,0.068
"3",0.5,0.118,0.093,0.107
"4",0.75,0.3,0.19,0.316
"5",1,0.583,0.415,0.647
