"","V1","V2","V3","V4"
"1",0,0.035,0.044,0.03
"2",0.25,0.213,0.348,0.596
"3",0.5,0.683,0.894,0.999
"4",0.75,0.949,0.998,1
"5",1,0.995,1,1
