"","V1","V2","V3","V4"
"1",0,0.053,0.063,0.042
"2",0.25,0.084,0.066,0.07
"3",0.5,0.301,0.211,0.148
"4",0.75,0.71,0.607,0.431
"5",1,0.935,0.909,0.784
