"","V1","V2","V3","V4"
"1",0,0.057,0.053,0.04
"2",0.25,0.091,0.082,0.103
"3",0.5,0.275,0.338,0.562
"4",0.75,0.623,0.816,0.961
"5",1,0.888,0.987,1
