"","V1","V2","V3","V4"
"1",0,0.035,0.044,0.03
"2",0.25,0.114,0.109,0.184
"3",0.5,0.376,0.345,0.643
"4",0.75,0.701,0.71,0.938
"5",1,0.9,0.925,0.996
