"","V1","V2","V3","V4"
"1",0,0.045,0.055,0.041
"2",0.25,0.052,0.047,0.051
"3",0.5,0.117,0.15,0.223
"4",0.75,0.273,0.436,0.684
"5",1,0.572,0.771,0.963
