"","V1","V2","V3","V4"
"1",0,0.05,0.038,0.055
"2",0.25,0.257,0.257,0.416
"3",0.5,0.737,0.735,0.963
"4",0.75,0.956,0.966,0.999
"5",1,0.997,0.999,1
