"","V1","V2","V3","V4"
"1",0,0.037,0.047,0.039
"2",0.25,0.114,0.179,0.309
"3",0.5,0.4,0.654,0.926
"4",0.75,0.749,0.94,1
"5",1,0.932,0.997,1
