"","V1","V2","V3","V4"
"1",0,0.048,0.053,0.041
"2",0.25,0.08,0.071,0.052
"3",0.5,0.341,0.211,0.131
"4",0.75,0.749,0.583,0.414
"5",1,0.947,0.901,0.785
