"","V1","V2","V3","V4"
"1",0,0.043,0.053,0.041
"2",0.25,0.05,0.057,0.052
"3",0.5,0.125,0.098,0.09
"4",0.75,0.3,0.197,0.29
"5",1,0.571,0.413,0.618
