"","V1","V2","V3","V4"
"1",0,0.037,0.047,0.039
"2",0.25,0.198,0.182,0.177
"3",0.5,0.674,0.664,0.661
"4",0.75,0.939,0.967,0.95
"5",1,0.996,0.999,1
