"","V1","V2","V3","V4"
"1",0,0.057,0.045,0.044
"2",0.25,0.126,0.113,0.184
"3",0.5,0.4,0.368,0.611
"4",0.75,0.708,0.704,0.943
"5",1,0.905,0.917,0.996
