"","V1","V2","V3","V4"
"1",0,0.058,0.052,0.045
"2",0.25,0.138,0.183,0.347
"3",0.5,0.428,0.663,0.913
"4",0.75,0.772,0.962,1
"5",1,0.961,0.997,1
