"","V1","V2","V3","V4","V5","V6","V7"
"1",1,1.17391685143782,-0.161144574611681,-0.2073372130515,1.32172272939689,-0.185780037607103,-0.219785631437856
"2",2,-0.179277848595566,-0.290651351703392,0.261780918328675,-0.160764261586485,-0.258630242702848,0.25222110939829
"3",3,-0.301353386355596,-0.612578840212803,-0.223814609141465,-0.286114062888178,-0.591580516699202,-0.225840169488468
"4",4,0.128663488386187,3.25110683368339,0.0384547236059853,0.130963743519854,2.97965707011191,0.041364527544728
"5",5,1.04851681288723,-0.0179037965070361,0.278235895888549,0.889758595359483,-0.0187295537260436,0.283401669496758
"6",6,0.299499659294741,1.52858439879228,0.372229450804578,0.303533380932045,1.55493973961747,0.355333248753654
"7",7,-1.65867246242893,-0.0503890757544746,1.4201968377855,-1.91428317202005,-0.057396407702442,1.70906474148734
"8",8,1.20640970425403,-0.195198035042232,0.221678131912698,1.37513075512231,-0.227251081930266,0.233495444577486
"9",9,-0.56729419146668,-0.285076223995997,-0.539832348116294,-0.481391063388163,-0.279304203709164,-0.511730134568656
"10",10,-1.80767303808177,0.396736938579493,0.48684616415404,-1.49655440584662,0.435233800174036,0.529323559294167
"11",11,-0.645759333500362,-1.29104877400242,-0.646457044527968,-0.623010392966299,-1.3191250750511,-0.658107394736042
"12",12,-0.445147465709069,1.15476684568154,-0.518346903259211,-0.402216706404187,1.13267896488264,-0.529122856291249
"13",13,0.243159573758897,-1.40421984269076,0.0987765066459954,0.279732573783329,-1.41952520349173,0.0990113104212403
"14",14,1.2202271751839,-1.22372699807584,1.22941000679696,1.36812443412419,-1.25459572977887,1.25105574941837
"15",15,0.826266495719926,1.5048722475427,-0.571091266929931,0.805132165777564,1.42990177165621,-0.568868520910685
"16",16,-0.0919528605490205,-0.869679688586392,0.429818194725021,-0.0980490383982933,-0.788571739852855,0.426959094577356
"17",17,-0.808350830984783,-1.36765697044899,0.252098822949016,-0.877467779691436,-1.40948772155208,0.22713481924046
"18",18,-1.23316976310848,-0.00801514215035473,-0.564279266528213,-1.1363829763542,-0.00876648574903013,-0.64081783706943
"19",19,-0.43384217024246,-0.253830488050605,1.16153209610794,-0.337925728270007,-0.24128337723771,1.18276248971525
"20",20,-1.49902647992005,-0.031951215408617,0.438086798404029,-1.42403058474427,-0.0277899872616977,0.406064870049309
"21",21,-0.596740349620493,0.636020690743242,-0.311308981922834,-0.609955091178452,0.549191941010423,-0.288296407689696
"22",22,0.924527203943109,1.62230532795308,-0.120132277602235,0.816391067088637,1.49160935468972,-0.102252826322935
"23",23,-0.426652343906179,-1.33213101599648,-0.965173413482191,-0.419571283038283,-1.32401190702442,-1.06386272113049
