"","V1","V2","V3","V4"
"1",0,0.045,0.055,0.041
"2",0.25,0.082,0.071,0.055
"3",0.5,0.336,0.208,0.13
"4",0.75,0.737,0.583,0.409
"5",1,0.937,0.895,0.784
