"","V1","V2","V3","V4"
"1",0,0.045,0.055,0.041
"2",0.25,0.076,0.071,0.058
"3",0.5,0.304,0.198,0.14
"4",0.75,0.682,0.562,0.405
"5",1,0.918,0.899,0.784
