"","V1","V2","V3","V4"
"1",0,0.047,0.054,0.042
"2",0.25,0.1,0.067,0.089
"3",0.5,0.367,0.222,0.356
"4",0.75,0.766,0.633,0.844
"5",1,0.951,0.909,0.988
