"","V1","V2","V3","V4"
"1",0,0.06,0.061,0.043
"2",0.25,0.063,0.062,0.064
"3",0.5,0.124,0.169,0.238
"4",0.75,0.324,0.464,0.711
"5",1,0.596,0.784,0.969
