"","V1","V2","V3","V4"
"1",0,0.048,0.053,0.041
"2",0.25,0.056,0.053,0.05
"3",0.5,0.116,0.156,0.223
"4",0.75,0.291,0.44,0.693
"5",1,0.578,0.775,0.962
