"","V1","V2","V3","V4"
"1",0,0.058,0.052,0.045
"2",0.25,0.23,0.184,0.172
"3",0.5,0.693,0.676,0.637
"4",0.75,0.945,0.953,0.961
"5",1,0.994,1,0.998
